url,created_at,user_id_str,full_text,user/location
https://twitter.com/politicsavi/status/1245137210048905216,Tue Mar 31 23:53:39 +0000 2020,1186837628001411072,@realDailyWire Actually I've reconsidered: will the US be be significantly changing its position on China re: trade and fulfilling the promise to bring manufacturing back home? Also possibly sanctions until they open up their markets more?,U.S.A
https://twitter.com/Edgeycated/status/1245136306079817729,Tue Mar 31 23:50:03 +0000 2020,903113142988713984,"@Yamiche He believed his own BS narrative. ""If I shut down travel from China I will have solved the problem."" He is incapable of complex problem solving. All of his cognitive load goes to self aggrandizement.",us
https://twitter.com/lynnkosmakos1/status/1245137549749714944,Tue Mar 31 23:55:00 +0000 2020,1839744276,"@AngrierWHStaff Jan. 10 - China isolates the Covid-19 virus.
Jan. 28 - the German/WHO test for the genome is developed and made available to the world.

You can't test for an unknown.","Georgia, GA"
https://twitter.com/chrizap/status/1245137742343725058,Tue Mar 31 23:55:45 +0000 2020,38539421,More than 60 Melbourne dock workers have been stood down after refusing to unload a container vessel carrying medical supplies from China. (AAP),MT US
https://twitter.com/jjdevi/status/1245137777341145088,Tue Mar 31 23:55:54 +0000 2020,70133652,"@stengel @Lawrence Trump rerouted planes from China to NYC. But that is just a coincidence, right? Nothing to do with the heavy infection rate ahead of the rest of the country? NYC, San Fran, Detroit,  Atlanta... all were receiving points for Flights from China. Notice a pattern?",United States
https://twitter.com/Mimistheone/status/1245136890250121222,Tue Mar 31 23:52:22 +0000 2020,351346595,"@Yamiche Oh so that's why he called it a hoax from the beginning and sent 17.8 tons of our PPE to China because he knew it could be maybe good. 🤦🏽‍♀️

https://t.co/nmbvdZYpIj",AZ
https://twitter.com/Kenny_Wallace/status/1245137886791503874,Tue Mar 31 23:56:20 +0000 2020,42772641,We have to look at other countries to see if we made a mistake.. All other countries downplayed it because China was not honest..,us
https://twitter.com/DrFredGodfrey/status/1245138660061782018,Tue Mar 31 23:59:24 +0000 2020,872859595043196930,"@TomRtweets Because our US government denied repeatedly the seriousness of the virus. Instead of ensuring we had enough PPE and vents, he gave the stock pile to China! “ It’s just the flu” will be he words he will be remember for; that and “it’s a hoax” when HE KNEW.",Delaware
https://twitter.com/BloombergAsia/status/1245137436159729665,Tue Mar 31 23:54:32 +0000 2020,588261604,"Fed goes global, no v-shape recovery, China worst over: Eco Day https://t.co/duiw7BJ4SV",SD US
https://twitter.com/RJHCUSTBC/status/1245138670279176193,Tue Mar 31 23:59:27 +0000 2020,2758398208,"Tucker: World Health Organization praises China, denies Taiwan's existence https://t.co/ZWzOjLJ82B via @YouTube",us
https://twitter.com/IsraelAnderson/status/1245137293486088192,Tue Mar 31 23:53:58 +0000 2020,297822295,"@realDonaldTrump Bro. Dr. Fauci took advantage of your feelings towards China to trick you. Testing demonstrates the virus is pre-existing. Compare data with previous years. He lied to you. Told you it was a NEW virus, but no, just newly DISCOVERED. Wake up President Trump, we need you right now.","New Hampshire, NH"
https://twitter.com/RichardGowan1/status/1245138146729304067,Tue Mar 31 23:57:22 +0000 2020,364534938,"Yep, from hereon every US donation to a @UN #humanitarian agency is going to come with a helpful comparison to #China's (mainly quite paltry) contributions to the same [4/5]. https://t.co/K33EZEfPOc",OK US
https://twitter.com/RichardGowan1/status/1245136897216860163,Tue Mar 31 23:52:24 +0000 2020,364534938,"Well, guess what: It looks like @State_IO, @USUN &amp; @USAmbUN are suddenly going to start telling us *a lot* about #China's limited #humanitarian role in the context of #COVID19. Check out this US fact sheet, which Ambassador Craft tweeted recently... [2/5] https://t.co/70OUL6vYVT","Arizona, AZ"
https://twitter.com/greenhousenyt/status/1245136358311636993,Tue Mar 31 23:50:15 +0000 2020,268476335,"@realDonaldTrump Hard to imagine anyone doing worse than Trump in preparing a nation for a pandemic. He limited China travel, but for 8 weeks minimized the urgency of Covid-19, leaving us hugely unprepared. The result will be tens of thousands of needless, avoidable deaths https://t.co/ICJe9AD08v","Boston, Massachusetts"
https://twitter.com/natehale/status/1245137082064031744,Tue Mar 31 23:53:08 +0000 2020,16672609,"@GomesBolt US puts a premium on good relations with Vietnam as a hedge against China; being able to use places like Cam Rahn Bay would be very helpful.  But in light of the rapidly-expanding pandemic at the time, the port call made no sense.  Would like to see comms between the..","Houston, Texas"
https://twitter.com/Sabang333/status/1245052064964763650,Tue Mar 31 18:15:18 +0000 2020,2493309551,"Damning: New Evidence Suggests the Chinese Government is Hugely Underreporting Coronavirus Death Toll

https://t.co/TR3nbU61TV","Las Vegas, Nevada"
