"full_text","url","user_id_str","created_at"
"LIVE IN 5 | The House Select Committee on China's first hearing, featuring expert testimony from @FDD_CMPP Chairman ⁦@LTGHRMcMaster and FDD China Program Chairman Matthew Pottinger — tune in here beginning at 7pm ET: 
https://t.co/jZcJvqmqDw","https://twitter.com/FDD/status/1630718519959605248","52763281","Tue Feb 28 23:56:07 +0000 2023"
"@SpecialPuppy1 I guess, but I don’t like that the extremely compelling evidence “pandemic epicenter, out of all possible places, is in city that hosts China’s biggest virology lab” is getting treated like a nothingburger. It’s an absolutely massive coincidence.","https://twitter.com/cowabungatime/status/1630717689785372673","111242919","Tue Feb 28 23:52:49 +0000 2023"
"@atrupar My favorite China News story last week was that Biden got a bruise. On his forehead. In Poland. On Ash Wednesday. 🙄","https://twitter.com/MaryVicToryFarm/status/1630716537081348096","39864836","Tue Feb 28 23:48:14 +0000 2023"
"#BREAKING: FBI Director Christopher Wray tells Fox News that the COVID-19 pandemic was likely caused by a lab leak in Wuhan, China. #BreakingNews 
 https://t.co/DDzHr87l3f","https://twitter.com/Breaking_4_News/status/1630719445621436416","2623540653","Tue Feb 28 23:59:47 +0000 2023"
"Rep. Matt Gaetz cites Communist China’s state news while pressing Pentagon officials over Ukraine aid

https://t.co/DHnjZTJur8 https://t.co/YuPpohYcUp","https://twitter.com/WashTimes/status/1630715240638734336","14662354","Tue Feb 28 23:43:05 +0000 2023"
"@uckema the number of kung-fu movies declined in the 90s as Hong Kong audiences flocked to other genres, Southeast Asians developed their own industries and the city’s industry was ultimately merged with China’s. At the same time the number of new anime was constantly increasing.","https://twitter.com/butleriano/status/1630715294888116224","2891047298","Tue Feb 28 23:43:18 +0000 2023"
".@PunchbowlNews PM: The Gang of Eight is unimpressed with the Biden admin. after classified document briefing.

Plus, HFSC members in sync on China but clash over data privacy.

https://t.co/3UMBVsjT7T","https://twitter.com/PunchbowlNews/status/1630716544152993797","1322868572113297410","Tue Feb 28 23:48:16 +0000 2023"
"@takegreenpill Asian based projects.  China, Japan and Indonesia specifically.  Their governments are pro crypto; so I think that’s where the strong development and momentum will come from this bull.","https://twitter.com/MaknCryptoBacon/status/1630717414848487425","1370704245134082052","Tue Feb 28 23:51:43 +0000 2023"
"We’re 5 minutes from the start of the House select committee China hearing - what do you want to hear asked? We’ll be following on @NewsNation","https://twitter.com/KellieMeyerNews/status/1630718650721107969","1286925638","Tue Feb 28 23:56:38 +0000 2023"
"Veronica will likely sail for China via the Cape of Good Hope once all STS transfers are completed. There are several more VLCCs in the area off Cueta doing the same includingn Scorpius, Sophia M, Catalina 7, &amp; An Shun II, which I'll focus on in other stories https://t.co/HpBJG7TJjB","https://twitter.com/Michellewb_/status/1630717202793107456","17762236","Tue Feb 28 23:50:53 +0000 2023"
